,Total Spend
0,8614232354
1,6482372250
2,4762102042
3,4061031881
4,3935450949
5,3151757680
6,970717899
7,886580755
8,750164161
9,732230259
10,717540492
11,697971689
12,669689594
13,610345219
14,604415490
15,595622784
16,593431527
17,423759947
18,274927782
19,274470609
20,266344698
21,263843691
22,99754705
23,98542325
24,97255251
25,97237865
26,95305780
27,94924612
28,94245020
29,93896780
30,93286729
31,91725337
32,90602893
33,90019270
34,89962085
35,89486942
36,89446456
37,89229063
38,89023072
39,87929254
40,83790929
41,83737902
42,83515340
43,83363653
44,83271978
45,83205443
46,82454260
47,82229414
48,81987808
49,81310856
50,80574648
51,79477460
52,79171640
53,77217782
54,77075280
55,76406931
56,76194399
57,75633873
58,75361026
59,74108663
60,72409186
61,71454670
62,70784804
63,70766969
64,69823586
65,67740260
66,67452992
67,67165361
68,66928673
69,66725433
70,66572195
71,66528320
72,64228657
73,63578902
74,63289110
75,61857711
76,61316603
77,60966456
78,60894603
79,59959381
80,59861047
81,58558505
82,58365511
83,57693320
84,57629454
85,57476594
86,56568356
87,56016857
88,55933863
89,55711249
90,55626394
91,55112321
92,54962164
93,53587749
94,52884527
95,52413849
96,51278439
97,50311906
98,50131321
99,49969623
100,49832098
101,48841193
102,48745782
103,48318066
104,47476879
105,47165896
106,45112119
107,43966567
108,43469161
109,43343214
110,43117188
111,41428201
112,39973099
113,39343311
114,39051439
115,38785154
116,38139436
117,36665356
118,36279579
119,35687405
120,35381618
121,35265940
122,35223855
123,34964183
124,34301614
125,34172921
126,34046023
127,34017800
128,33986186
129,33213359
130,32740465
131,32195456
132,31947279
133,29931897
134,29763971
135,28623502
136,28291390
137,27530494
138,27476925
139,27183979
140,24794629
141,24444485
142,24070103
143,23168217
144,23032301
145,22742437
146,22654077
147,22380410
148,21510859
149,21234561
150,20993240
151,20985428
152,20807070
153,19759659
154,18848346
155,17454536
156,16924667
157,16323197
158,15591081
159,14721654
160,14556068
161,14419231
162,13792827
163,13757142
164,13478402
165,13163968
166,12897107
167,12696865
168,12186140
169,11998508
170,11739186
171,11302500
172,11206612
173,10616288
174,10180849
175,9992979
176,9987097
177,9983582
178,9975312
179,9957555
180,9953779
181,9935429
182,9929717
183,9925563
184,9915422
185,9899446
186,9878909
187,9874725
188,9869889
189,9866689
190,9823317
191,9815586
192,9810127
193,9809230
194,9795585
195,9788004
196,9785053
197,9780772
198,9776148
199,9741587
200,9716184
201,9705548
202,9677645
203,9669823
204,9665929
205,9658914
206,9637453
207,9628233
208,9604073
209,9600948
210,9594686
211,9585197
212,9570652
213,9561681
214,9558296
215,9549995
216,9539164
217,9512381
218,9511662
219,9505915
220,9488666
221,9466928
222,9438405
223,9423857
224,9348546
225,9346671
226,9340157
227,9334689
228,9326758
229,9324255
230,9313720
231,9305171
232,9299087
233,9273430
234,9260035
235,9258401
236,9254476
237,9219218
238,9212585
239,9211707
240,9192825
241,9188472
242,9186405
243,9185689
244,9179052
245,9177149
246,9166269
247,9139608
248,9112901
249,9106096
250,9096682
251,9096208
252,9085009
253,9084786
254,9064752
255,9024756
256,9015164
257,9008767
258,9005549
259,8995961
260,8992894
261,8960624
262,8955406
263,8934026
264,8910219
265,8897975
266,8891071
267,8877543
268,8873304
269,8860878
270,8838207
271,8787641
272,8782407
273,8780546
274,8779505
275,8775491
276,8768275
277,8763689
278,8761219
279,8739138
280,8731650
281,8730681
282,8721616
283,8673793
284,8670824
285,8661451
286,8659800
287,8645613
288,8644595
289,8618371
290,8610807
291,8583550
292,8572324
293,8563357
294,8551740
295,8547024
296,8503465
297,8496073
298,8456836
299,8446659
300,8426237
301,8417371
302,8405976
303,8384884
304,8340357
305,8331181
306,8316591
307,8303772
308,8298888
309,8271662
310,8270170
311,8258227
312,8248559
313,8242288
314,8237307
315,8230097
316,8227725
317,8219951
318,8218906
319,8168975
320,8153683
321,8138455
322,8126131
323,8121633
324,8111671
325,8105850
326,8087729
327,8085420
328,8079784
329,8069240
330,8054491
331,8043421
332,8036286
333,8003048
334,7961720
335,7884081
336,7872328
337,7860119
338,7850642
339,7841568
340,7840791
341,7831052
342,7820613
343,7770382
344,7763558
345,7755842
346,7749178
347,7744756
348,7737477
349,7734464
350,7717867
351,7701953
352,7681450
353,7659203
354,7656253
355,7654158
356,7634321
357,7634119
358,7630402
359,7622591
360,7611789
361,7597402
362,7588962
363,7544054
364,7539247
365,7535023
366,7530308
367,7524989
368,7524823
369,7518254
370,7498281
371,7497523
372,7468052
373,7456265
374,7424252
375,7421980
376,7421690
377,7421618
378,7405945
379,7387907
380,7385396
381,7380545
382,7378764
383,7339951
384,7311890
385,7311646
386,7309594
387,7308814
388,7275248
389,7270410
390,7261969
391,7231023
